Fold Number,Number of examples in fold,Model,Accuracy,Precision,Recall,F-Score,AUC,Average Log Loss,Training Log Loss
0,7542,FastTree (Boosted Trees) Classification,0.804693715194909,0,0,0,0.769700324521007,0.415385989590315,15.8841899796363
1,7542,FastTree (Boosted Trees) Classification,0.797798992309732,0,0,0,0.769607968678907,0.421542430189774,16.2673551890391
2,7542,FastTree (Boosted Trees) Classification,0.803632988597189,0,0,0,0.776518405439366,0.413147278414165,16.5905992115988
3,7542,FastTree (Boosted Trees) Classification,0.798461946433307,0,0,0,0.769586133737699,0.422610617496996,15.9029434165693
4,7542,FastTree (Boosted Trees) Classification,0.797401219835587,0,0,0,0.766679014237286,0.425831245814598,15.5070013121903
5,7542,FastTree (Boosted Trees) Classification,0.793821267568284,0,0,0,0.7561112850619,0.435225069632421,14.4688144073727
6,7542,FastTree (Boosted Trees) Classification,0.808936621585786,0,0,0,0.757775912095502,0.418655996560564,14.1678362933763
7,7543,FastTree (Boosted Trees) Classification,0.796102346546467,0,0,0,0.765676197447078,0.427713854981424,15.431203328339
8,7542,FastTree (Boosted Trees) Classification,0.794484221691859,0,0,0,0.760122905809897,0.433214767763691,14.7138614711232
9,7543,FastTree (Boosted Trees) Classification,0.79239029563834,0,0,0,0.771106931615894,0.42789106276969,16.2266735702531
Mean,75422,FastTree (Boosted Trees) Classification,0.798772361540146,0,0,0,0.766288507864453,0.424121831321364,15.5160478179498
Standard Deviation,75422,FastTree (Boosted Trees) Classification,0.00533005484292417,0,0,0,0.00646343458667597,0.00723850353662272,0.821548995743581
0,7542,Local Deep SVM (LDSVM),0.812118801378945,0.573684210526316,0.147997284453496,0.235294117647059,0.791579736403167,0.440960869004441,10.7052678397393
1,7542,Local Deep SVM (LDSVM),0.803500397772474,0.559888579387187,0.131803278688525,0.213375796178344,0.789556257271065,0.455913087424884,9.44017522309552
2,7542,Local Deep SVM (LDSVM),0.805887032617343,0.523545706371191,0.12761647535449,0.205211726384365,0.791740086523005,0.452519680861509,8.64179096012433
3,7542,Local Deep SVM (LDSVM),0.801113762927605,0.531446540880503,0.111184210526316,0.183895538628945,0.789716434477093,0.457995560561926,8.86154541110142
4,7542,Local Deep SVM (LDSVM),0.803898170246619,0.574468085106383,0.12369109947644,0.203554119547658,0.772329116006804,0.455305407126175,9.65876847934737
5,7542,Local Deep SVM (LDSVM),0.798992309732167,0.566101694915254,0.107395498392283,0.180540540540541,0.781482332835828,0.463663266114822,8.88009070790812
6,7542,Local Deep SVM (LDSVM),0.811588438080085,0.527777777777778,0.131852879944483,0.210993892282066,0.779583806752423,0.44348938429766,9.07653599157315
7,7543,Local Deep SVM (LDSVM),0.800344690441469,0.545197740112994,0.125487646293888,0.204016913319239,0.787346208025605,0.458229045945534,9.39765321069591
8,7542,Local Deep SVM (LDSVM),0.80151153540175,0.575498575498576,0.130322580645161,0.212519726459758,0.774017884060468,0.460307484503251,9.38017165971264
9,7543,Local Deep SVM (LDSVM),0.795174333819435,0.528455284552846,0.124521072796935,0.201550387596899,0.792190198656365,0.466209796336177,8.72455900244396
Mean,75422,Local Deep SVM (LDSVM),0.803412947241789,0.550606419512903,0.126187202657202,0.205095275858487,0.784954206101182,0.455459358217638,9.27665584857417
Standard Deviation,75422,Local Deep SVM (LDSVM),0.00532005990476879,0.0215723630436467,0.0112850829248473,0.0154162068824072,0.00754082159704889,0.0080473707552277,0.607044722120278
0,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.807610713338637,0.566265060240964,0.0638153428377461,0.11470408785845,0.738247313621347,0.456452768840878,7.56815263568176
1,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.795147175815434,0.441860465116279,0.0498360655737705,0.0895698291101945,0.744486577647485,0.477187098062307,5.2144341141733
2,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.805754441792628,0.544943820224719,0.0654962862930452,0.116937914406269,0.744256596312462,0.468557499791706,5.40395075927571
3,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.800450808804031,0.542372881355932,0.0631578947368421,0.113140836770772,0.74643795119649,0.469242641481001,6.62344167851709
4,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.797931583134447,0.514925373134328,0.0451570680628272,0.0830324909747292,0.740322428295583,0.470910681083502,6.56238603921649
5,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.796738265712013,0.571428571428571,0.0565916398713826,0.102984201287303,0.741187900687288,0.475198776702443,6.61311215860538
6,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.81145584725537,0.546341463414634,0.0777238029146426,0.136087484811665,0.743016269843933,0.463171146391333,5.04141350452531
7,7543,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.797825798753811,0.538011695906433,0.0598179453836151,0.107665301345816,0.741807921227326,0.475471599618828,5.98840658771627
8,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.795544948289578,0.523255813953488,0.0580645161290323,0.104529616724739,0.728426611826521,0.479339031322669,5.6334685017423
9,7543,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.793053161871934,0.512953367875648,0.0632183908045977,0.112563956793633,0.743787114120519,0.47814099728004,6.38864577981344
Mean,75422,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.800151274476788,0.5302358512651,0.0602878952607501,0.108121572008357,0.741197668477895,0.471367224057471,6.10374117592671
Standard Deviation,75422,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.00608776314832547,0.0366218744853052,0.00892820155740555,0.0147618485131468,0.0050617311118186,0.00728060466944225,0.789454543892739
0,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.809466984884646,0.526162790697674,0.245756958587916,0.335030078667284,0.760755330445744,0.8963684728472,-81.5149332422661
1,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.797268629010872,0.497032640949555,0.219672131147541,0.304683947248749,0.763526075027858,0.883849486731153,-75.5625290329435
2,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.796605674887298,0.459041731066461,0.200540175557056,0.279135338345865,0.746388701142258,0.947041665140829,-91.1961712884853
3,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.798196764783877,0.498571428571429,0.229605263157895,0.314414414414414,0.762683100561101,0.927136296554576,-84.4947343104949
4,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.797003447361443,0.497822931785196,0.224476439790576,0.309427153811457,0.751045716626301,0.95242626140958,-88.9794411435753
5,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.791036860249271,0.484490398818316,0.210932475884244,0.293906810035842,0.741341502515901,1.0692366098563,-110.128233185854
