Fold Number,Number of examples in fold,Model,Accuracy,Precision,Recall,F-Score,AUC,Average Log Loss,Training Log Loss
0,7542,FastTree (Boosted Trees) Classification,0.804693715194909,0,0,0,0.77013848548884,0.415277524917923,15.9061541142135
1,7542,FastTree (Boosted Trees) Classification,0.797798992309732,0,0,0,0.770530436985917,0.42086277445823,16.4023579026151
2,7542,FastTree (Boosted Trees) Classification,0.803632988597189,0,0,0,0.775307611419843,0.413432247349823,16.5330674561974
3,7542,FastTree (Boosted Trees) Classification,0.798461946433307,0,0,0,0.768524347130696,0.423602236661041,15.7056169664158
4,7542,FastTree (Boosted Trees) Classification,0.797401219835587,0,0,0,0.766648054626465,0.425982477458555,15.4769940846324
5,7542,FastTree (Boosted Trees) Classification,0.793821267568284,0,0,0,0.755933407699533,0.435328686683465,14.4484514047752
6,7542,FastTree (Boosted Trees) Classification,0.808936621585786,0,0,0,0.757233458844132,0.418482113222813,14.2034855692361
7,7543,FastTree (Boosted Trees) Classification,0.796102346546467,0,0,0,0.764485707077652,0.427538801494127,15.4658154004088
8,7542,FastTree (Boosted Trees) Classification,0.794484221691859,0,0,0,0.760260939316939,0.433398864295327,14.6776187493415
9,7543,FastTree (Boosted Trees) Classification,0.79239029563834,0,0,0,0.769191543317071,0.428539293801343,16.0997616654681
Mean,75422,FastTree (Boosted Trees) Classification,0.798772361540146,0,0,0,0.765825399190709,0.424244502034265,15.4919323313304
Standard Deviation,75422,FastTree (Boosted Trees) Classification,0.00533005484292417,0,0,0,0.0062749535127201,0.00731319160119661,0.810520664973939
0,7542,Local Deep SVM (LDSVM),0.804030761071334,0.493540051679587,0.129667345553293,0.205376344086022,0.760612763135684,0.446434721911179,9.59681068730452
1,7542,Local Deep SVM (LDSVM),0.795810129939008,0.479338842975207,0.114098360655738,0.184322033898305,0.758381689039525,0.458375276553416,8.95110083107295
2,7542,Local Deep SVM (LDSVM),0.803235216123044,0.494208494208494,0.0864280891289669,0.147126436781609,0.692072137188193,0.466484325772965,5.82249932940546
3,7542,Local Deep SVM (LDSVM),0.794219040042429,0.45,0.0947368421052632,0.156521739130435,0.768571706374871,0.45678148481215,9.10313942885289
4,7542,Local Deep SVM (LDSVM),0.799390082206311,0.521246458923513,0.120418848167539,0.195640616693248,0.766295800636212,0.450502864552048,10.6116840471977
5,7542,Local Deep SVM (LDSVM),0.794484221691859,0.535211267605634,0.0244372990353698,0.0467404674046741,0.657510619203344,0.487650127866528,4.16615103066808
6,7542,Local Deep SVM (LDSVM),0.804561124370194,0.452173913043478,0.108258154059681,0.174692049272116,0.756698797173328,0.45235018429272,7.25990935300642
7,7543,Local Deep SVM (LDSVM),0.795306907066154,0.490322580645161,0.0988296488946684,0.164502164502164,0.747367603286815,0.463902001091472,8.27598042718245
8,7542,Local Deep SVM (LDSVM),0.797003447361443,0.541125541125541,0.0806451612903226,0.140370578326783,0.688588602006977,0.474049366171723,6.67483446708952
9,7543,Local Deep SVM (LDSVM),0.79013655044412,0.476190476190476,0.108556832694764,0.176807072282891,0.744791549812809,0.47150304418487,7.68823686701109
Mean,75422,Local Deep SVM (LDSVM),0.79781774803159,0.493335762639709,0.0966076581585605,0.159209950237825,0.734089126785776,0.462803339720907,7.81503464687911
Standard Deviation,75422,Local Deep SVM (LDSVM),0.00482997219364488,0.0314262297811642,0.0294765067739797,0.0445022496695563,0.0394715086938459,0.0125549894540097,1.91680149954815
0,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.808936621585786,0.631147540983607,0.0522742701968771,0.096551724137931,0.743882106175005,0.456221304216502,7.61502430410188
1,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.797533810660302,0.492753623188406,0.0445901639344262,0.0817799158147925,0.7441073243297,0.476749490080713,5.30135792317808
2,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.805356669318483,0.545454545454545,0.0526671168129642,0.0960591133004926,0.740287941378341,0.471676134572593,4.77433640153359
3,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.799390082206311,0.527131782945736,0.0447368421052632,0.0824742268041237,0.745163566921289,0.470686419734662,6.33613819757005
4,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.800715990453461,0.619047619047619,0.0425392670157068,0.0796080832823025,0.740437887512036,0.468245263808771,7.09125539887435
5,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.798196764783877,0.62406015037594,0.0533762057877814,0.0983412322274882,0.740773283163897,0.4746232298866,6.72621961715478
