Fold Number,Number of examples in fold,Model,Accuracy,Precision,Recall,F-Score,AUC,Average Log Loss,Training Log Loss
0,7542,FastTree (Boosted Trees) Classification,0.804693715194909,0,0,0,0.785051451194271,0.411726568279603,16.6252240912103
1,7542,FastTree (Boosted Trees) Classification,0.797798992309732,0,0,0,0.780669033367208,0.418103083509926,16.9505262610373
2,7542,FastTree (Boosted Trees) Classification,0.803632988597189,0,0,0,0.787148460603268,0.410916111951063,17.0410445309069
3,7542,FastTree (Boosted Trees) Classification,0.798461946433307,0,0,0,0.780535022898495,0.420856588493278,16.2519849935376
4,7542,FastTree (Boosted Trees) Classification,0.797401219835587,0,0,0,0.777393216003844,0.423848793066686,15.9003575514854
5,7542,FastTree (Boosted Trees) Classification,0.793821267568284,0,0,0,0.772757050780442,0.432437139686383,15.0167032361003
6,7542,FastTree (Boosted Trees) Classification,0.808936621585786,0,0,0,0.770543355254784,0.416534137406368,14.6028563666145
7,7543,FastTree (Boosted Trees) Classification,0.796102346546467,0,0,0,0.775004466369053,0.4247102988386,16.025074968867
8,7542,FastTree (Boosted Trees) Classification,0.794484221691859,0,0,0,0.775010174856798,0.43066386859814,15.2160519682971
9,7543,FastTree (Boosted Trees) Classification,0.79239029563834,0,0,0,0.782771056611006,0.425615431493712,16.6722009913734
Mean,75422,FastTree (Boosted Trees) Classification,0.798772361540146,0,0,0,0.778688328793917,0.421541202132376,16.030202495943
Standard Deviation,75422,FastTree (Boosted Trees) Classification,0.00533005484292417,0,0,0,0.00544020957296718,0.007306706394821,0.845144465025422
0,7542,Local Deep SVM (LDSVM),0.810527711482365,0.648648648648649,0.065173116089613,0.118445404071561,0.69459962412344,0.459842285112149,6.88177439019413
1,7542,Local Deep SVM (LDSVM),0.806019623442058,0.580310880829016,0.146885245901639,0.234432234432234,0.749763102902432,0.45368865623785,9.88202281221376
2,7542,Local Deep SVM (LDSVM),0.807345531689207,0.531531531531532,0.159351789331533,0.245194805194805,0.792335596430661,0.443912373974173,10.3795013297298
3,7542,Local Deep SVM (LDSVM),0.803367806947759,0.539614561027837,0.165789473684211,0.253648716658279,0.789509026114772,0.429431975243867,14.5455328720544
4,7542,Local Deep SVM (LDSVM),0.804958896844338,0.618257261410788,0.0975130890052356,0.168456755228943,0.702389831666774,0.46108975698381,8.51104371810749
5,7542,Local Deep SVM (LDSVM),0.801378944577035,0.6289592760181,0.0893890675241158,0.156531531531532,0.644986592064156,0.475226512212121,6.60766152813539
6,7542,Local Deep SVM (LDSVM),0.816229116945107,0.588996763754045,0.126301179736294,0.208,0.733721824194416,0.448158527564822,8.11927591989357
7,7543,Local Deep SVM (LDSVM),0.801537849661938,0.558404558404558,0.127438231469441,0.207517204870302,0.783593429402676,0.454050764093417,10.2237949507243
8,7542,Local Deep SVM (LDSVM),0.802704852824185,0.570776255707763,0.161290322580645,0.251509054325956,0.779084801240364,0.453191262349872,10.7811283064778
