Fold Number,Number of examples in fold,Model,Accuracy,Precision,Recall,F-Score,AUC,Average Log Loss,Training Log Loss
0,7542,FastTree (Boosted Trees) Classification,0.804693715194909,0,0,0,0.769920132103798,0.415438371768863,15.8735825699267
1,7542,FastTree (Boosted Trees) Classification,0.797798992309732,0,0,0,0.77114661464648,0.420836099114937,16.4076565318521
2,7542,FastTree (Boosted Trees) Classification,0.803632988597189,0,0,0,0.776180628610255,0.413257805960657,16.5682850468805
3,7542,FastTree (Boosted Trees) Classification,0.798461946433307,0,0,0,0.768782556066353,0.42349431925382,15.727091903215
4,7542,FastTree (Boosted Trees) Classification,0.797401219835587,0,0,0,0.766540811405151,0.425939744395722,15.4854731350951
5,7542,FastTree (Boosted Trees) Classification,0.793821267568284,0,0,0,0.757829369851183,0.434896973643235,14.533292400258
6,7542,FastTree (Boosted Trees) Classification,0.808936621585786,0,0,0,0.757679114503362,0.418806635608049,14.136952523669
7,7543,FastTree (Boosted Trees) Classification,0.796102346546467,0,0,0,0.765621518262306,0.427740154170927,15.4260033779894
8,7542,FastTree (Boosted Trees) Classification,0.794484221691859,0,0,0,0.761753897670012,0.432783667946389,14.7987312435179
9,7543,FastTree (Boosted Trees) Classification,0.79239029563834,0,0,0,0.770367133184658,0.428251184810409,16.1561681919065
Mean,75422,FastTree (Boosted Trees) Classification,0.798772361540146,0,0,0,0.766582177630356,0.424144495667301,15.511323692431
Standard Deviation,75422,FastTree (Boosted Trees) Classification,0.00533005484292417,0,0,0,0.00599432029682125,0.00712932307299796,0.80797200385011
0,7542,Local Deep SVM (LDSVM),0.812781755502519,0.588405797101449,0.137813985064494,0.223322332233223,0.790359049254461,0.445010344252054,9.88524766778698
1,7542,Local Deep SVM (LDSVM),0.802174489525325,0.547826086956522,0.123934426229508,0.202139037433155,0.788967106858437,0.457451340924521,9.13462582951175
2,7542,Local Deep SVM (LDSVM),0.805754441792628,0.522346368715084,0.12626603646185,0.203371397498641,0.791167860044533,0.453137730039454,8.51701436281011
3,7542,Local Deep SVM (LDSVM),0.799920445505171,0.515759312320917,0.118421052631579,0.192616372391653,0.788842172997256,0.457596917657387,8.94087303211148
4,7542,Local Deep SVM (LDSVM),0.803765579421904,0.564171122994652,0.138089005235602,0.221871713985279,0.789819228519145,0.449305166107801,10.8493301430932
5,7542,Local Deep SVM (LDSVM),0.799124900556881,0.560606060606061,0.118971061093248,0.196286472148541,0.781005791218594,0.457842718216764,10.0239548767163
6,7542,Local Deep SVM (LDSVM),0.810527711482365,0.516129032258065,0.13324080499653,0.211803640375069,0.779392998337834,0.442269501302179,9.32663439654362
7,7543,Local Deep SVM (LDSVM),0.79795837200053,0.521212121212121,0.11183355006502,0.184154175588865,0.787274746120755,0.464522629041513,8.15326810841036
8,7542,Local Deep SVM (LDSVM),0.802439671174755,0.578125,0.143225806451613,0.229576008273009,0.776490266592015,0.458727790453904,9.69116291751612
9,7543,Local Deep SVM (LDSVM),0.794511467585841,0.556338028169014,0.0504469987228608,0.0925058548009368,0.616349101953401,0.49393963077064,3.29555925450694
Mean,75422,Local Deep SVM (LDSVM),0.802895883454792,0.547091893033388,0.12022427269523,0.195764700472837,0.768966832189643,0.457980376876622,8.78176705890069
Standard Deviation,75422,Local Deep SVM (LDSVM),0.00561132310314797,0.0267764162382277,0.0265024313310608,0.0390829929983964,0.053870183482268,0.0143396783198387,2.07826860085998
0,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.807478122513922,0.559322033898305,0.0672097759674134,0.12,0.738326175883875,0.456458045261916,7.56708415855274
1,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.795810129939008,0.458563535911602,0.0544262295081967,0.0973036342321219,0.744546517108629,0.477310224153225,5.18997709039708
2,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.805091487669053,0.530054644808743,0.0654962862930452,0.116586538461538,0.744526305317501,0.469057606203976,5.30298536906916
3,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.800450808804031,0.541899441340782,0.0638157894736842,0.114184814596822,0.746660381233722,0.469206204888931,6.63069234856202
4,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.798727128082737,0.535714285714286,0.0490837696335079,0.0899280575539568,0.740591869407682,0.470520244436957,6.63985607784904
5,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.796870856536728,0.570552147239264,0.0598070739549839,0.108265424912689,0.741604666488002,0.47501000277557,6.65021033814744
6,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.8117210289048,0.550724637681159,0.0791117279666898,0.138349514563107,0.742526594598148,0.463293420756309,5.016345015365
7,7543,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.797693225507093,0.535294117647059,0.0591677503250975,0.10655737704918,0.741753999971848,0.47555171830821,5.97256529318497
8,7542,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.795677539114293,0.526946107784431,0.0567741935483871,0.102504368083867,0.728433395064387,0.479349106253498,5.63148506994279
9,7543,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.792257722391621,0.497435897435897,0.061941251596424,0.110164679159568,0.743329955121709,0.478312142976972,6.35513854962428
Mean,75422,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.800177804946329,0.530650684946153,0.061683384826743,0.110384440861285,0.74122998601955,0.471406871601556,6.09563393106945
Standard Deviation,75422,Microsoft.Analytics.Modules.BayesPointMachineClassifiers.Dll.BackwardCompatibleBinaryBayesPointMachineClassifier,0.00607389364674012,0.0321536776603272,0.00815683578942149,0.0133261013226443,0.00506021933934884,0.00727413474832458,0.814212594395528
0,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.799655263855741,0.473239436619718,0.228105906313646,0.307833256985799,0.764235505311905,0.808554118722489,-63.7324954284622
1,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.797136038186158,0.496371552975327,0.224262295081967,0.308943089430894,0.755464380975215,0.961131403431584,-90.9133426591645
2,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.798859718907452,0.474137931034483,0.222822417285618,0.303169499310978,0.750126081440088,0.923990902214996,-86.5425031565321
3,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.790241315300981,0.455331412103746,0.207894736842105,0.285456187895212,0.746217487633065,0.960183927349598,-91.0710207591833
4,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.79289313179528,0.475504322766571,0.215968586387435,0.297029702970297,0.752594350094108,0.926798327338378,-83.8943727716971
5,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.792495359321135,0.492559523809524,0.212861736334405,0.29726088908846,0.750079351993628,1.00172353589809,-96.8604467885178
6,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.804428533545479,0.474852071005917,0.222761970853574,0.30325932923949,0.747657265091524,0.976549774900544,-100.210628381157
7,7543,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.79570462680631,0.497553017944535,0.198309492847854,0.283589028358903,0.750960296415319,0.956233932104335,-89.0692855348035
8,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.793688676743569,0.495664739884393,0.221290322580645,0.305976806422837,0.748541980705457,0.997888647385774,-96.452373626746
9,7543,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.793981174598966,0.50887573964497,0.219667943805875,0.306868867082962,0.759511075982838,0.937786232031859,-83.601572860176
Mean,75422,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.795908383906107,0.484408974778918,0.217394540833312,0.299938665678583,0.752538777564315,0.945084080137764,-88.2348041966439
Standard Deviation,75422,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionForestClassifier,0.00419508275374722,0.016172680115523,0.00892923424837525,0.00908014623813038,0.00565795765933436,0.0548424625115008,10.2458597031072
0,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionJungleClassifier,0.818085388491116,0.6,0.205702647657841,0.306370070778564,0.816254675665242,0.383456194556727,22.3499847833643
1,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionJungleClassifier,0.808008485812782,0.567190226876091,0.213114754098361,0.309818875119161,0.812069464386424,0.393670400016239,21.8036870871835
2,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionJungleClassifier,0.815566162821533,0.582720588235294,0.214044564483457,0.313086419753086,0.810930478242749,0.389482818336649,21.3681653197991
3,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionJungleClassifier,0.805356669318483,0.546594982078853,0.200657894736842,0.293551491819057,0.811959711321645,0.392833853105794,21.8283464618354
4,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionJungleClassifier,0.808406258286927,0.576146788990826,0.205497382198953,0.302942595272552,0.805996468536765,0.401280484890355,20.3783380939444
5,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionJungleClassifier,0.808671439936356,0.608949416342412,0.201286173633441,0.302561623972934,0.80330184853893,0.403513961441189,20.7007363928017
6,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionJungleClassifier,0.82113497745956,0.587786259541985,0.213740458015267,0.313486005089058,0.803735659084113,0.38810151576803,20.4320656819461
7,7543,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionJungleClassifier,0.807901365504441,0.588118811881188,0.193107932379714,0.290748898678414,0.81040642334249,0.396508909379268,21.6011336895932
8,7542,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionJungleClassifier,0.806682577565632,0.584249084249084,0.205806451612903,0.304389312977099,0.803913551401869,0.402386395577466,20.7829824165299
9,7543,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionJungleClassifier,0.804587034336471,0.592,0.189016602809706,0.286544046466602,0.810538845053335,0.400188778175815,21.6502795579798
Mean,75422,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionJungleClassifier,0.81044003595333,0.583375615819573,0.204197486162648,0.302349933992653,0.808910712557356,0.395142331124753,21.2895719484977
Standard Deviation,75422,Microsoft.Analytics.Modules.Gemini.Dll.BinaryGeminiDecisionJungleClassifier,0.00570524681446638,0.0173683968784664,0.00848879530721277,0.00929521142841253,0.00439545588795943,0.0067760719962901,0.673419940706782
0,7542,SVM (Pegasos-Linear),0.809466984884646,0.625,0.0610997963340122,0.111317254174397,0.774279816954536,0.454155697180543,8.03331046051468
1,7542,SVM (Pegasos-Linear),0.798594537258022,0.521428571428571,0.0478688524590164,0.0876876876876877,0.76616308437569,0.47585867370847,5.47830431231205
2,7542,SVM (Pegasos-Linear),0.806152214266773,0.558282208588957,0.0614449696151249,0.110705596107056,0.768943269869093,0.467138309153665,5.6904680544588
3,7542,SVM (Pegasos-Linear),0.800318217979316,0.546052631578947,0.0546052631578947,0.0992822966507177,0.773223127042948,0.470434012857635,6.38636569905847
4,7542,SVM (Pegasos-Linear),0.799390082206311,0.557251908396947,0.0477748691099476,0.0880048221820374,0.764100932901763,0.468857891831024,6.96969837554858
5,7542,SVM (Pegasos-Linear),0.798329355608592,0.625,0.0546623794212219,0.10053222945003,0.760842973280264,0.475409092400838,6.571780552759
6,7542,SVM (Pegasos-Linear),0.813179527976664,0.585106382978723,0.0763358778625954,0.135052179251074,0.754756418698383,0.46236380862954,5.20693256434075
7,7543,SVM (Pegasos-Linear),0.797295505766936,0.532374100719424,0.0481144343302991,0.088252832438879,0.756840690841724,0.47876779250159,5.33667398086642
8,7542,SVM (Pegasos-Linear),0.796340493237868,0.550724637681159,0.0490322580645161,0.0900473933649289,0.76107988070115,0.478513295136341,5.79602955924953
9,7543,SVM (Pegasos-Linear),0.795174333819435,0.56,0.0625798212005109,0.112578977599081,0.772722746689043,0.475634492605726,6.87937403414959
Mean,75422,SVM (Pegasos-Linear),0.801424125300456,0.566122044137273,0.0563518521555139,0.102346126890589,0.765295294135459,0.470713306600537,6.23489375932579
Standard Deviation,75422,SVM (Pegasos-Linear),0.00605644877289335,0.0353514825745956,0.00918630638270071,0.0153038080956725,0.0069471625358407,0.0078784344519564,0.897587102196293
0,7542,Binary Neural Network,0.806284805091488,0.730769230769231,0.0128988458927359,0.0253502334889927,0.796275396864548,0.435086585122723,11.8948124064389
