Fold Number,Number of examples in fold,Model,Accuracy,Precision,Recall,F-Score,AUC,Average Log Loss,Training Log Loss
0,7542,FastTree (Boosted Trees) Classification,0.815963935295678,0.547806524184477,0.330617786829599,0.412362404741744,0.817022100561801,0.38803270037889,21.4232407333932
1,7542,FastTree (Boosted Trees) Classification,0.808008485812782,0.542168674698795,0.324590163934426,0.406070549630845,0.811770965869926,0.401346424343764,20.2789679307095
2,7542,FastTree (Boosted Trees) Classification,0.810262529832936,0.526766595289079,0.332207967589467,0.407453416149068,0.808299283639069,0.399327113368001,19.3807221181856
3,7542,FastTree (Boosted Trees) Classification,0.806019623442058,0.530546623794212,0.325657894736842,0.403587443946188,0.814541636805398,0.399269983603273,20.5475939009306
4,7542,FastTree (Boosted Trees) Classification,0.806682577565632,0.537634408602151,0.327225130890052,0.406834825061025,0.803103948552853,0.408950959455793,18.8563704042491
5,7542,FastTree (Boosted Trees) Classification,0.804030761071334,0.543113101903695,0.311897106109325,0.396241830065359,0.80464849617902,0.413647190380076,18.7093366653996
6,7542,FastTree (Boosted Trees) Classification,0.816361707769822,0.531963470319635,0.323386537126995,0.40224428139836,0.800582685106058,0.399140644555493,18.1688416578113
7,7543,FastTree (Boosted Trees) Classification,0.807636219011004,0.549375709421112,0.314694408322497,0.400165357585779,0.808914601940949,0.406689015257687,19.5882942781474
8,7542,FastTree (Boosted Trees) Classification,0.805887032617343,0.546536796536797,0.325806451612903,0.408245755860954,0.803645828847065,0.412594622450444,18.7733088873536
9,7543,FastTree (Boosted Trees) Classification,0.807636219011004,0.562162162162162,0.33205619412516,0.41750301083902,0.813820315039067,0.405486198891091,20.6131404507876
Mean,75422,FastTree (Boosted Trees) Classification,0.808848909142959,0.541807406691212,0.324813964127727,0.406070887527834,0.80863498625412,0.403448485268451,19.6339817026967
Standard Deviation,75422,FastTree (Boosted Trees) Classification,0.00418192836136547,0.0105363677353524,0.00682849244018804,0.00605344467196903,0.00556138289821479,0.00765698013373259,1.04478401790127
